Model,Horsepower,Fuel_efficiency,performance_efficiency
Viper,450,16,28.1250
Corvette,345,22,15.6818
"Land Cruiser",230,15,15.3333
SL-Class,302,20,15.1000
Expedition,240,16,15.0000
A8,310,21,14.7619
"Carrera Coupe",300,21,14.2857
"Ram Pickup",230,17,13.5294
LS400,290,22,13.1818
S-Class,275,21,13.0952
"Carrera Cabrio",300,23,13.0435
DeVille,275,22,12.5000
Eldorado,275,22,12.5000
Continental,275,22,12.5000
F-Series,220,18,12.2222
"Ram Wagon",175,15,11.6667
Mountaineer,210,18,11.6667
Aurora,250,22,11.3636
Montero,200,18,11.1111
Explorer,210,19,11.0526
LHS,253,23,11.0000
"Ram Van",175,16,10.9375
Passport,205,19,10.7895
Regal,240,23,10.4348
"Grand Cherokee",195,19,10.2632
"Town car",215,21,10.2381
Bravada,190,19,10.0000
Boxter,217,22,9.8636
GS300,225,23,9.7826
RL,210,22,9.5455
Diamante,210,22,9.5455
"Crown Victoria",200,21,9.5238
"Grand Marquis",200,21,9.5238
Cherokee,190,20,9.5000
Odyssey,210,23,9.1304
ES300,210,23,9.1304
A6,200,22,9.0909
Catera,200,22,9.0909
I30,227,25,9.0800
TL,225,25,9.0000
Pathfinder,170,19,8.9474
Maxima,222,25,8.8800
E-Class,221,25,8.8400
CL,225,26,8.6538
"Montero Sport",173,20,8.6500
"Park Avenue",205,24,8.5417
Bonneville,205,24,8.5417
Silhouette,185,22,8.4091
LeSabre,205,25,8.2000
Villager,170,21,8.0952
Quest,170,21,8.0952
Avalon,210,26,8.0769
328i,193,24,8.0417
Camaro,200,25,8.0000
Firebird,200,25,8.0000
Mustang,190,24,7.9167
"Grand Prix",195,25,7.8000
528i,193,25,7.7200
Concorde,200,26,7.6923
3000GT,161,21,7.6667
Windstar,150,21,7.1429
C-Class,185,26,7.1154
Wrangler,120,17,7.0588
Century,175,25,7.0000
Lumina,175,25,7.0000
"Sebring Conv.",168,24,7.0000
Stratus,168,24,7.0000
"Grand Am",175,25,7.0000
Malibu,170,25,6.8000
Contour,170,25,6.8000
"Sebring Coupe",163,24,6.7917
Avenger,163,24,6.7917
"Monte Carlo",180,27,6.6667
4Runner,150,23,6.5217
Taurus,155,24,6.4583
Eclipse,154,24,6.4167
Sable,153,24,6.3750
Dakota,120,19,6.3158
Caravan,150,24,6.2500
Voyager,150,24,6.2500
Altima,155,25,6.2000
Tacoma,142,23,6.1739
CR-V,146,24,6.0833
Cutlass,150,25,6.0000
Sonata,148,25,5.9200
Galant,145,25,5.8000
A4,150,27,5.5556
Sunfire,150,27,5.5556
Passat,150,27,5.5556
Elantra,140,27,5.1852
Ranger,119,23,5.1739
Integra,140,28,5.0000
Accord,135,27,5.0000
Camry,133,27,4.9259
Cirrus,132,27,4.8889
Breeze,132,27,4.8889
RAV4,127,27,4.7037
Neon,132,29,4.5517
Neon,132,29,4.5517
Celica,140,31,4.5161
Mystique,125,28,4.4643
Golf,115,26,4.4231
Jetta,115,26,4.4231
Cabrio,115,26,4.4231
GTI,115,26,4.4231
Cavalier,115,27,4.2593
Sentra,126,30,4.2000
Cougar,125,30,4.1667
SW,124,31,4.0000
Mirage,113,30,3.7667
Escort,110,30,3.6667
Prizm,120,33,3.6364
Corolla,120,33,3.6364
Civic,106,32,3.3125
SL,100,33,3.0303
SC,100,33,3.0303
Accent,92,31,2.9677
Metro,55,45,1.2222
